card_id,corpus,traj_id,task,agent,model,reward,n_steps,t,w,kind,placeholder_frac,max_msg_repeat_frac,hint,max_sig_run,final_stall
d_tb2_break-filter-js-from-html__J2d7BGR_9,tb2,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,9,10,dense2,0.022,0.333,12.77,1,76
d_tb2_break-filter-js-from-html__J2d7BGR_19,tb2,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,19,10,dense2,0.022,0.333,12.77,1,76
d_tb2_break-filter-js-from-html__J2d7BGR_25,tb2,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,25,10,dense2,0.022,0.333,12.77,1,76
d_tb2_break-filter-js-from-html__J2d7BGR_29,tb2,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,29,10,dense2,0.022,0.333,12.77,1,76
d_tb2_break-filter-js-from-html__J2d7BGR_31,tb2,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,31,10,dense2,0.022,0.333,12.77,1,76
d_tb2_break-filter-js-from-html__J2d7BGR_35,tb2,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,35,10,dense2,0.022,0.333,12.77,1,76
d_tb2_break-filter-js-from-html__J2d7BGR_43,tb2,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,43,10,dense2,0.022,0.333,12.77,1,76
d_tb2_break-filter-js-from-html__J2d7BGR_49,tb2,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,49,10,dense2,0.022,0.333,12.77,1,76
d_tb2_break-filter-js-from-html__J2d7BGR_53,tb2,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,53,10,dense2,0.022,0.333,12.77,1,76
d_tb2_break-filter-js-from-html__J2d7BGR_55,tb2,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,55,10,dense2,0.022,0.333,12.77,1,76
d_tb2_break-filter-js-from-html__J2d7BGR_59,tb2,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,59,10,dense2,0.022,0.333,12.77,1,76
d_tb2_break-filter-js-from-html__J2d7BGR_63,tb2,break-filter-js-from-html__J2d7BGR,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,1,91,63,10,dense2,0.022,0.333,12.77,1,76
